Sno_of_polling_station,KUMAR NAVNEET HIMANSHU,Nilam Devi,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Ajit kumar,Arvind Kumar Sharma,KRISHNA MURARI KUMAR,PANCHANAND SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total of Valid Votes,No. of rejected votes,NOTA,Total,No.of tendered votes,Margin
15,5,109,197,1,3,1,1,0,1,7,2,2,1,4,0,5,2,7,9,357,0,5,362,0,88
16,2,77,584,7,9,3,0,1,2,3,2,3,6,14,4,5,0,0,1,723,0,7,730,0,507
17,8,180,532,4,5,1,2,0,1,8,2,3,4,20,3,10,5,1,6,795,0,6,801,0,352
18,2,139,478,6,6,0,0,1,3,4,1,1,4,6,3,3,1,0,1,659,0,2,661,0,339
19,4,66,215,3,2,0,1,0,0,0,0,0,2,3,2,4,0,0,3,305,0,5,310,0,149
20,2,130,564,5,1,2,1,1,1,2,1,1,4,9,6,6,1,2,1,740,0,2,742,0,434
21,6,171,357,2,1,4,4,2,2,8,0,1,5,8,3,7,3,0,1,585,0,4,589,0,186
22,2,105,251,4,7,1,3,1,1,2,0,3,1,7,5,2,0,0,0,395,0,2,397,0,146
23,6,160,162,2,2,0,1,1,2,4,4,3,2,7,4,2,1,2,5,370,0,5,375,0,2
24,9,255,301,5,4,5,4,2,2,8,1,4,7,15,13,15,0,2,1,653,0,6,659,0,46
25,4,273,303,4,2,0,3,3,1,9,1,1,4,17,6,3,1,3,3,641,0,6,647,0,30
26,2,63,618,8,5,1,1,2,3,7,2,1,2,4,1,6,4,2,7,739,0,9,748,0,555
27,0,76,520,5,4,0,3,0,3,9,1,4,0,6,3,4,2,3,10,653,0,8,661,0,444
28,5,74,595,7,7,3,2,1,5,18,2,0,2,18,3,11,1,1,5,760,0,3,763,0,521
29,2,36,498,6,3,0,0,2,3,6,0,0,2,9,2,7,1,0,1,578,0,8,586,0,462
30,2,43,539,5,8,2,2,1,1,3,1,1,2,6,0,8,4,1,5,634,0,9,643,0,496
31,1,114,359,0,8,3,1,1,2,6,4,1,6,19,7,13,2,6,15,568,0,6,574,0,245
32,0,64,370,2,6,1,0,1,4,10,0,1,2,7,1,1,3,2,2,477,0,3,480,0,306
33,1,90,273,1,2,0,1,1,0,0,1,0,2,4,1,2,4,6,9,398,0,2,400,0,183
34,5,233,457,5,14,1,3,1,1,6,8,3,9,12,4,8,9,3,9,791,0,11,802,0,224
35,2,153,438,10,14,2,1,1,0,4,0,2,6,12,4,5,3,5,11,673,0,2,675,0,285
36,7,472,242,5,2,1,0,1,1,5,2,1,5,8,13,4,0,5,1,775,0,0,775,0,-230
37,3,350,189,1,1,4,2,0,1,3,0,2,4,5,4,1,2,3,5,580,0,1,581,0,-161
38,4,312,85,2,5,1,2,2,2,1,1,1,0,1,4,6,0,1,1,431,0,1,432,0,-227
39,1,133,258,5,4,0,2,1,1,4,0,3,1,6,6,5,1,0,1,432,0,0,432,0,125
40,0,118,231,5,3,1,1,0,0,4,2,0,2,2,5,3,0,8,12,397,0,2,399,0,113
41,3,26,430,4,5,1,1,1,2,3,2,0,1,5,1,0,4,1,8,498,0,8,506,0,404
42,2,58,358,1,5,1,1,1,1,3,0,0,1,4,0,3,0,1,3,443,0,2,445,0,300
43,2,76,547,2,5,1,3,1,2,1,1,0,3,11,1,7,1,2,1,667,0,5,672,0,471
44,6,38,411,6,6,6,1,1,3,3,2,0,2,11,1,4,0,1,13,515,0,4,519,0,373
45,1,32,342,2,6,1,0,2,0,3,0,0,1,2,1,3,1,0,3,400,0,4,404,0,310
46,0,78,582,5,5,1,0,2,0,3,6,0,5,3,0,0,1,1,15,707,0,7,714,0,504
47,1,281,165,2,0,0,0,0,1,1,1,0,1,0,1,0,2,1,2,459,0,1,460,0,-116
48,5,231,517,5,3,2,3,1,2,3,2,1,0,6,2,7,0,7,18,815,0,4,819,0,286
49,2,106,334,6,1,0,0,0,0,0,1,0,0,4,0,3,1,0,1,459,0,3,462,0,228
50,0,138,361,2,0,0,0,0,0,3,0,0,0,1,2,2,0,0,0,509,0,0,509,0,223
51,6,392,229,0,1,0,1,0,0,6,1,1,1,1,3,4,0,2,1,649,0,1,650,0,-163
52,0,286,140,0,1,0,0,0,1,0,2,1,1,2,3,0,0,0,0,437,0,2,439,0,-146
